CI_LGAa_data2
Postcode,Year,Incidents Recorded
3390,2021,20
3391,2021,20
3393,2021,20
3395,2021,20
3396,2021,20
3399,2021,20
3280,2021,733
3281,2021,733
3282,2021,733
3585,2021,371
3586,2021,371
3587,2021,371
3588,2021,371
3590,2021,371
3216,2021,146
3217,2021,146
3221,2021,146
3222,2021,146
3223,2021,146
3225,2021,146
3228,2021,146
3233,2021,146
3300,2021,99
3301,2021,99
3304,2021,99
3305,2021,99
3306,2021,99
3312,2021,99
3314,2021,99
3315,2021,99
3225,2021,40
3228,2021,40
3377,2021,49
3379,2021,49
3380,2021,49
3381,2021,49
3384,2021,49
3385,2021,49
3387,2021,49
3380,2021,149
3381,2021,149
3384,2021,149
3385,2021,149
3387,2021,149
3388,2021,149
3280,2021,64
3281,2021,64
3282,2021,64
3283,2021,64
3284,2021,64
3286,2021,64
3287,2021,64
3288,2021,64
3450,2021,81
3451,2021,81
3452,2021,81
3453,2021,81
3454,2021,81
3455,2021,81
3456,2021,81
3465,2021,81
3467,2021,81
3340,2021,199
3341,2021,199
3342,2021,199
3343,2021,199
3345,2021,199
3350,2021,199
3352,2021,199
3355,2021,199
3356,2021,199
3358,2021,199
3500,2021,550
3501,2021,550
3502,2021,550
3505,2021,550
3506,2021,550
3507,2021,550
3508,2021,550
3509,2021,550
3440,2021,231
3441,2021,231
3442,2021,231
3444,2021,231
3446,2021,231
3447,2021,231
3448,2021,231
3449,2021,231
3515,2021,51
3516,2021,51
3517,2021,51
3518,2021,51
3520,2021,51
3522,2021,51
3523,2021,51
3525,2021,51
3400,2021,293
3401,2021,293
3402,2021,293
3407,2021,293
3408,2021,293
3414,2021,41
3415,2021,41
3418,2021,41
3419,2021,41
3420,2021,41
3423,2021,41
3424,2021,41
3363,2021,72
3364,2021,72
3365,2021,72
3366,2021,72
3377,2021,72
3379,2021,72
3381,2021,72
3211,2021,1034
3212,2021,1034
3213,2021,1034
3214,2021,1034
3215,2021,1034
3216,2021,1034
3218,2021,1034
3219,2021,1034
3220,2021,1034
3221,2021,1034
3222,2021,1034
3223,2021,1034
3224,2021,1034
3225,2021,1034
3226,2021,1034
3550,2021,799
3551,2021,799
3552,2021,799
3553,2021,799
3554,2021,799
3555,2021,799
3556,2021,799
3557,2021,799
3558,2021,799
3559,2021,799
3211,2021,45
3212,2021,45
3216,2021,45
3218,2021,45
3221,2021,45
3222,2021,45
3331,2021,45
3333,2021,45
3334,2021,45
3335,2021,45
3300,2021,105
3301,2021,105
3302,2021,105
3303,2021,105
3304,2021,105
3305,2021,105
3306,2021,105
3307,2021,105
3308,2021,105
3312,2021,105
3564,2021,107
3565,2021,107
3566,2021,107
